airline,source,destination,duration,total_stops,additional_info,dep_time_hour,dep_time_min,dtoj_day,dtoj_month,dtoj_year,route_key,price
Air India,mumbai,hyderabad,80,0,no info,6,20,24,3,2019,"('mumbai', 'hyderabad')",2575
Jet Airways,banglore,new delhi,640,1,in-flight meal not included,14,5,6,3,2019,"('banglore', 'new delhi')",13502
Air Asia,banglore,new delhi,170,0,no info,5,50,3,3,2019,"('banglore', 'new delhi')",7074
Jet Airways,banglore,delhi,180,0,no info,17,45,1,4,2019,"('banglore', 'delhi')",7229
Spicejet,delhi,cochin,295,1,no info,17,55,24,4,2019,"('delhi', 'cochin')",4957
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,15,50,15,3,2019,"('mumbai', 'hyderabad')",2470
Indigo,delhi,cochin,355,1,no info,2,35,21,3,2019,"('delhi', 'cochin')",8470
Jet Airways,delhi,cochin,440,1,no info,11,30,3,3,2019,"('delhi', 'cochin')",18550
Vistara,banglore,delhi,170,0,no info,9,45,1,4,2019,"('banglore', 'delhi')",5403
Jet Airways,banglore,delhi,180,0,no info,7,10,24,5,2019,"('banglore', 'delhi')",7229
Jet Airways,kolkata,banglore,1730,1,no info,9,35,21,5,2019,"('kolkata', 'banglore')",11467
Jet Airways,delhi,cochin,1475,2,no info,19,10,6,3,2019,"('delhi', 'cochin')",19329
Jet Airways,banglore,new delhi,730,1,no info,7,0,6,3,2019,"('banglore', 'new delhi')",16736
Spicejet,chennai,kolkata,135,0,no info,9,45,15,6,2019,"('chennai', 'kolkata')",3597
Air Asia,delhi,cochin,470,1,no info,7,55,3,6,2019,"('delhi', 'cochin')",8759
Jet Airways,delhi,cochin,1320,2,no info,14,35,12,6,2019,"('delhi', 'cochin')",13376
Air India,delhi,cochin,1490,2,no info,6,50,3,6,2019,"('delhi', 'cochin')",13381
Spicejet,chennai,kolkata,135,0,no check-in baggage included,8,20,24,5,2019,"('chennai', 'kolkata')",3543
Indigo,delhi,cochin,320,1,no info,6,50,1,6,2019,"('delhi', 'cochin')",5298
Air India,kolkata,banglore,875,2,no info,5,50,12,6,2019,"('kolkata', 'banglore')",12723
Jet Airways,kolkata,banglore,945,1,in-flight meal not included,16,30,18,5,2019,"('kolkata', 'banglore')",8586
Air Asia,banglore,delhi,170,0,no info,23,55,3,5,2019,"('banglore', 'delhi')",4483
Spicejet,mumbai,hyderabad,90,0,no info,13,15,9,5,2019,"('mumbai', 'hyderabad')",2227
Jet Airways,kolkata,banglore,425,1,no info,16,30,9,5,2019,"('kolkata', 'banglore')",14781
Jet Airways,delhi,cochin,535,2,no info,19,30,24,6,2019,"('delhi', 'cochin')",13014
Jet Airways,delhi,cochin,1105,1,in-flight meal not included,10,0,21,5,2019,"('delhi', 'cochin')",12898
Goair,banglore,delhi,175,0,no info,7,45,3,4,2019,"('banglore', 'delhi')",4239
Vistara,banglore,delhi,170,0,no info,21,0,21,6,2019,"('banglore', 'delhi')",5613
Jet Airways,banglore,new delhi,930,1,no info,18,55,12,3,2019,"('banglore', 'new delhi')",13817
Air India,delhi,cochin,1010,1,no info,6,10,15,6,2019,"('delhi', 'cochin')",8907
Jet Airways,delhi,cochin,1530,1,in-flight meal not included,17,30,27,5,2019,"('delhi', 'cochin')",12898
Indigo,delhi,cochin,895,1,no info,10,35,6,5,2019,"('delhi', 'cochin')",6979
Indigo,chennai,kolkata,140,0,no info,19,35,18,5,2019,"('chennai', 'kolkata')",3597
Jet Airways,banglore,delhi,165,0,in-flight meal not included,6,0,15,5,2019,"('banglore', 'delhi')",4030
Jet Airways,delhi,cochin,535,2,no info,19,30,9,5,2019,"('delhi', 'cochin')",15129
Jet Airways,banglore,new delhi,810,1,no info,22,55,12,3,2019,"('banglore', 'new delhi')",13817
Jet Airways,kolkata,banglore,1330,1,in-flight meal not included,6,30,12,6,2019,"('kolkata', 'banglore')",7594
Jet Airways,delhi,cochin,1485,1,no info,18,15,9,5,2019,"('delhi', 'cochin')",15554
Indigo,delhi,cochin,265,1,no info,7,35,9,3,2019,"('delhi', 'cochin')",6937
Spicejet,kolkata,banglore,435,1,no info,11,35,6,6,2019,"('kolkata', 'banglore')",8479
Multiple Carriers,delhi,cochin,615,1,no info,8,45,21,5,2019,"('delhi', 'cochin')",9794
Jet Airways,delhi,cochin,660,1,1 long layover,8,0,24,6,2019,"('delhi', 'cochin')",18581
Indigo,chennai,kolkata,140,0,no info,22,5,6,3,2019,"('chennai', 'kolkata')",5277
Indigo,delhi,cochin,305,1,no info,20,25,6,6,2019,"('delhi', 'cochin')",5054
Air India,kolkata,banglore,150,0,no info,14,15,12,3,2019,"('kolkata', 'banglore')",5747
Vistara,kolkata,banglore,385,1,no info,17,0,21,5,2019,"('kolkata', 'banglore')",9345
Multiple Carriers,delhi,cochin,395,1,no info,8,55,6,3,2019,"('delhi', 'cochin')",15147
Air India,delhi,cochin,570,1,no info,13,30,1,6,2019,"('delhi', 'cochin')",8907
Goair,delhi,cochin,540,1,no info,10,35,6,4,2019,"('delhi', 'cochin')",5135
Jet Airways,delhi,cochin,1015,1,no info,11,30,27,3,2019,"('delhi', 'cochin')",12242
Spicejet,mumbai,hyderabad,90,0,no check-in baggage included,13,15,27,6,2019,"('mumbai', 'hyderabad')",1965
Air India,chennai,kolkata,135,0,no info,11,40,1,5,2019,"('chennai', 'kolkata')",4667
Air India,delhi,cochin,1010,1,no info,6,10,3,3,2019,"('delhi', 'cochin')",13002
Indigo,banglore,delhi,170,0,no info,5,30,18,6,2019,"('banglore', 'delhi')",3943
Multiple Carriers,delhi,cochin,540,1,no info,7,10,18,5,2019,"('delhi', 'cochin')",7038
Jet Airways,kolkata,banglore,690,1,in-flight meal not included,9,35,1,4,2019,"('kolkata', 'banglore')",8066
Jet Airways,kolkata,banglore,1400,1,no info,18,55,1,4,2019,"('kolkata', 'banglore')",12681
Jet Airways,kolkata,banglore,590,1,no info,6,30,9,5,2019,"('kolkata', 'banglore')",13941
Jet Airways,kolkata,banglore,735,1,no info,20,0,9,6,2019,"('kolkata', 'banglore')",14939
Indigo,banglore,new delhi,285,1,no info,5,25,3,3,2019,"('banglore', 'new delhi')",7774
Jet Airways,banglore,new delhi,1450,1,no info,22,50,6,3,2019,"('banglore', 'new delhi')",17471
Multiple Carriers,delhi,cochin,640,1,in-flight meal not included,10,20,24,6,2019,"('delhi', 'cochin')",6007
Indigo,delhi,cochin,275,1,no info,7,35,12,6,2019,"('delhi', 'cochin')",5054
Jet Airways,delhi,cochin,1775,2,no info,13,25,18,5,2019,"('delhi', 'cochin')",15129
Multiple Carriers,delhi,cochin,710,1,no info,7,0,6,3,2019,"('delhi', 'cochin')",15867
Spicejet,delhi,cochin,270,1,no info,8,45,15,4,2019,"('delhi', 'cochin')",5830
Jet Airways,kolkata,banglore,750,1,in-flight meal not included,9,35,12,6,2019,"('kolkata', 'banglore')",10539
Jet Airways,delhi,cochin,360,1,no info,13,0,27,5,2019,"('delhi', 'cochin')",16079
Multiple Carriers,delhi,cochin,690,1,no info,14,0,12,6,2019,"('delhi', 'cochin')",13377
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,10,20,6,6,2019,"('mumbai', 'hyderabad')",4995
Multiple Carriers,delhi,cochin,535,1,no info,10,20,6,3,2019,"('delhi', 'cochin')",15353
Spicejet,banglore,delhi,160,0,no check-in baggage included,5,55,18,4,2019,"('banglore', 'delhi')",4319
Spicejet,delhi,cochin,295,1,no info,17,55,9,6,2019,"('delhi', 'cochin')",5409
Air India,kolkata,banglore,580,1,no info,19,0,1,4,2019,"('kolkata', 'banglore')",4227
Indigo,delhi,cochin,635,1,no info,11,55,24,6,2019,"('delhi', 'cochin')",6442
Multiple Carriers,delhi,cochin,470,1,no info,11,25,18,5,2019,"('delhi', 'cochin')",7997
Multiple Carriers,delhi,cochin,520,1,no info,10,35,24,6,2019,"('delhi', 'cochin')",7155
Jet Airways,banglore,delhi,180,0,no info,8,20,6,4,2019,"('banglore', 'delhi')",7229
Multiple Carriers,delhi,cochin,910,1,no info,3,50,9,6,2019,"('delhi', 'cochin')",12192
Jet Airways,kolkata,banglore,520,1,no info,20,0,6,6,2019,"('kolkata', 'banglore')",13731
Jet Airways,mumbai,hyderabad,85,0,in-flight meal not included,7,5,9,6,2019,"('mumbai', 'hyderabad')",4050
Air India,kolkata,banglore,795,1,no info,10,0,1,5,2019,"('kolkata', 'banglore')",10203
Spicejet,banglore,delhi,160,0,no info,5,55,24,6,2019,"('banglore', 'delhi')",3625
Multiple Carriers,delhi,cochin,845,1,no info,4,55,12,6,2019,"('delhi', 'cochin')",10678
Air Asia,banglore,new delhi,170,0,no info,5,50,18,3,2019,"('banglore', 'new delhi')",4284
Multiple Carriers,delhi,cochin,520,1,no info,10,20,6,5,2019,"('delhi', 'cochin')",9794
Air India,banglore,delhi,170,0,no info,21,5,1,5,2019,"('banglore', 'delhi')",6121
Air India,banglore,new delhi,1770,4,change airports,5,50,1,3,2019,"('banglore', 'new delhi')",17686
Goair,delhi,cochin,540,1,no info,10,35,6,6,2019,"('delhi', 'cochin')",4959
Jet Airways,delhi,cochin,925,1,in-flight meal not included,13,0,27,5,2019,"('delhi', 'cochin')",12898
Indigo,banglore,new delhi,295,1,no info,15,40,9,3,2019,"('banglore', 'new delhi')",5226
Air India,banglore,new delhi,480,1,no info,11,50,15,3,2019,"('banglore', 'new delhi')",7192
Indigo,banglore,delhi,170,0,no info,4,0,1,4,2019,"('banglore', 'delhi')",3943
Jet Airways,kolkata,banglore,1495,1,in-flight meal not included,8,25,18,5,2019,"('kolkata', 'banglore')",9663
Air India,delhi,cochin,1600,2,no info,5,0,21,5,2019,"('delhi', 'cochin')",11806
Indigo,delhi,cochin,305,1,no info,20,25,24,4,2019,"('delhi', 'cochin')",5065
Air India,kolkata,banglore,545,1,no info,9,25,18,5,2019,"('kolkata', 'banglore')",8576
Jet Airways,kolkata,banglore,1495,1,in-flight meal not included,18,55,21,5,2019,"('kolkata', 'banglore')",10844
Indigo,delhi,cochin,985,2,no info,4,55,1,3,2019,"('delhi', 'cochin')",10278
Indigo,banglore,delhi,180,0,no info,21,15,18,4,2019,"('banglore', 'delhi')",4591
Jet Airways,delhi,cochin,885,1,in-flight meal not included,21,50,1,6,2019,"('delhi', 'cochin')",10262
Indigo,kolkata,banglore,315,1,no info,21,0,1,4,2019,"('kolkata', 'banglore')",5930
Air India,delhi,cochin,1595,2,no info,16,40,6,3,2019,"('delhi', 'cochin')",12646
Indigo,delhi,cochin,975,1,no info,4,45,6,3,2019,"('delhi', 'cochin')",13611
Jet Airways,banglore,delhi,185,0,no info,18,55,24,6,2019,"('banglore', 'delhi')",8016
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,10,20,27,6,2019,"('mumbai', 'hyderabad')",4995
Jet Airways,delhi,cochin,1620,1,in-flight meal not included,16,0,9,6,2019,"('delhi', 'cochin')",10577
Air India,banglore,delhi,165,0,no info,17,0,6,4,2019,"('banglore', 'delhi')",4651
Jet Airways,kolkata,banglore,400,1,no info,14,5,12,5,2019,"('kolkata', 'banglore')",14781
Indigo,delhi,cochin,480,1,no info,7,30,3,3,2019,"('delhi', 'cochin')",14871
Multiple Carriers,delhi,cochin,740,1,no info,8,40,9,3,2019,"('delhi', 'cochin')",18228
Multiple Carriers,delhi,cochin,455,1,no info,14,55,18,5,2019,"('delhi', 'cochin')",7740
Air India,delhi,cochin,1485,2,no info,18,30,27,5,2019,"('delhi', 'cochin')",12488
Jet Airways,delhi,cochin,1130,2,no info,9,35,24,6,2019,"('delhi', 'cochin')",13292
Vistara,banglore,new delhi,160,0,no info,19,40,9,3,2019,"('banglore', 'new delhi')",7450
Spicejet,banglore,delhi,160,0,no info,5,55,12,6,2019,"('banglore', 'delhi')",4423
Indigo,delhi,cochin,275,1,no info,7,35,27,4,2019,"('delhi', 'cochin')",5073
Indigo,mumbai,hyderabad,90,0,no info,6,25,27,5,2019,"('mumbai', 'hyderabad')",4049
Indigo,delhi,cochin,625,1,no info,11,55,9,3,2019,"('delhi', 'cochin')",6674
Vistara,banglore,delhi,170,0,no info,11,30,24,5,2019,"('banglore', 'delhi')",4668
Spicejet,kolkata,banglore,140,0,no info,22,20,21,3,2019,"('kolkata', 'banglore')",3847
Indigo,kolkata,banglore,155,0,no info,11,30,3,5,2019,"('kolkata', 'banglore')",5224
Indigo,banglore,delhi,170,0,no info,23,30,1,5,2019,"('banglore', 'delhi')",4591
Jet Airways,kolkata,banglore,735,1,no info,20,0,18,5,2019,"('kolkata', 'banglore')",13941
Spicejet,chennai,kolkata,155,0,no info,9,30,27,3,2019,"('chennai', 'kolkata')",3384
Multiple Carriers,delhi,cochin,395,1,in-flight meal not included,6,0,27,6,2019,"('delhi', 'cochin')",10791
Jet Airways,banglore,new delhi,525,1,no info,22,55,12,3,2019,"('banglore', 'new delhi')",13817
Multiple Carriers,delhi,cochin,750,1,no info,13,0,6,6,2019,"('delhi', 'cochin')",7198
Multiple Carriers,delhi,cochin,730,1,no info,7,5,18,5,2019,"('delhi', 'cochin')",14533
Indigo,delhi,cochin,295,1,no info,5,10,27,6,2019,"('delhi', 'cochin')",6496
Jet Airways,delhi,cochin,1425,1,in-flight meal not included,19,15,1,6,2019,"('delhi', 'cochin')",10262
Jet Airways,kolkata,banglore,800,1,in-flight meal not included,20,0,6,5,2019,"('kolkata', 'banglore')",9663
Air India,banglore,delhi,170,0,no info,21,5,21,5,2019,"('banglore', 'delhi')",5228
Goair,delhi,cochin,370,1,no info,7,25,15,6,2019,"('delhi', 'cochin')",5842
Multiple Carriers,delhi,cochin,660,1,no info,10,0,27,6,2019,"('delhi', 'cochin')",7408
Indigo,kolkata,banglore,320,1,no info,15,10,9,6,2019,"('kolkata', 'banglore')",7095
Vistara,banglore,delhi,170,0,no info,11,30,3,6,2019,"('banglore', 'delhi')",4668
Jet Airways,kolkata,banglore,960,1,no info,20,0,6,6,2019,"('kolkata', 'banglore')",14571
Multiple Carriers,delhi,cochin,690,1,no info,7,30,9,5,2019,"('delhi', 'cochin')",9315
Air India,chennai,kolkata,135,0,no info,11,40,24,3,2019,"('chennai', 'kolkata')",4405
Air India,delhi,cochin,1455,1,no info,19,0,1,6,2019,"('delhi', 'cochin')",8792
Jet Airways,banglore,delhi,180,0,in-flight meal not included,19,50,21,5,2019,"('banglore', 'delhi')",4030
Indigo,chennai,kolkata,140,0,no info,14,45,18,5,2019,"('chennai', 'kolkata')",3858
Multiple Carriers,delhi,cochin,510,1,no info,10,45,27,3,2019,"('delhi', 'cochin')",7154
Air India,banglore,delhi,165,0,no info,6,10,1,4,2019,"('banglore', 'delhi')",5176
Air India,kolkata,banglore,1540,1,no info,16,50,9,5,2019,"('kolkata', 'banglore')",8576
Jet Airways,delhi,cochin,1125,2,in-flight meal not included,9,40,24,6,2019,"('delhi', 'cochin')",10368
Spicejet,kolkata,banglore,145,0,no info,9,0,18,4,2019,"('kolkata', 'banglore')",4174
Air India,kolkata,banglore,150,0,no info,14,15,21,6,2019,"('kolkata', 'banglore')",5510
Jet Airways,delhi,cochin,505,2,no info,20,0,24,6,2019,"('delhi', 'cochin')",14300
Jet Airways,delhi,cochin,1355,1,in-flight meal not included,14,0,21,5,2019,"('delhi', 'cochin')",12898
Jet Airways,banglore,new delhi,365,1,no info,18,40,9,3,2019,"('banglore', 'new delhi')",22270
Jet Airways,banglore,delhi,180,0,no info,17,45,18,5,2019,"('banglore', 'delhi')",7229
Indigo,banglore,delhi,175,0,no info,0,30,27,5,2019,"('banglore', 'delhi')",3419
Jet Airways,delhi,cochin,1145,1,in-flight meal not included,17,30,15,6,2019,"('delhi', 'cochin')",10262
Indigo,banglore,delhi,180,0,no info,16,55,27,4,2019,"('banglore', 'delhi')",4823
Jet Airways,kolkata,banglore,960,1,no info,20,0,12,6,2019,"('kolkata', 'banglore')",13044
Vistara,banglore,delhi,170,0,no info,21,0,1,5,2019,"('banglore', 'delhi')",4668
Spicejet,kolkata,banglore,145,0,no info,9,0,15,6,2019,"('kolkata', 'banglore')",3873
Jet Airways,delhi,cochin,1475,2,no info,19,10,27,3,2019,"('delhi', 'cochin')",10929
Air India,kolkata,banglore,1185,2,no info,16,45,15,5,2019,"('kolkata', 'banglore')",14960
Indigo,kolkata,banglore,160,0,no info,21,25,21,5,2019,"('kolkata', 'banglore')",4804
Jet Airways,banglore,new delhi,625,1,in-flight meal not included,5,45,21,3,2019,"('banglore', 'new delhi')",7832
Spicejet,mumbai,hyderabad,90,0,no info,5,45,27,5,2019,"('mumbai', 'hyderabad')",2017
Vistara,banglore,new delhi,160,0,no info,11,30,9,3,2019,"('banglore', 'new delhi')",9918
Jet Airways,kolkata,banglore,590,1,in-flight meal not included,8,25,12,6,2019,"('kolkata', 'banglore')",9899
Jet Airways,kolkata,banglore,1170,1,in-flight meal not included,16,30,12,5,2019,"('kolkata', 'banglore')",10844
Vistara,banglore,delhi,170,0,no info,11,30,21,4,2019,"('banglore', 'delhi')",5403
Jet Airways,banglore,delhi,180,0,in-flight meal not included,7,10,27,4,2019,"('banglore', 'delhi')",4544
Air India,kolkata,banglore,920,2,no info,10,0,12,5,2019,"('kolkata', 'banglore')",12140
Jet Airways,kolkata,banglore,1485,1,in-flight meal not included,20,0,24,5,2019,"('kolkata', 'banglore')",10844
Spicejet,banglore,delhi,175,0,no info,21,10,27,4,2019,"('banglore', 'delhi')",3971
Multiple Carriers,delhi,cochin,385,1,no info,12,50,3,6,2019,"('delhi', 'cochin')",9001
Spicejet,delhi,cochin,270,1,no info,8,45,9,5,2019,"('delhi', 'cochin')",4812
Multiple Carriers,delhi,cochin,755,1,no info,9,45,27,3,2019,"('delhi', 'cochin')",6601
Jet Airways,kolkata,banglore,1660,1,in-flight meal not included,18,55,6,6,2019,"('kolkata', 'banglore')",10844
Indigo,chennai,kolkata,140,0,no info,19,35,15,5,2019,"('chennai', 'kolkata')",3597
Air India,delhi,cochin,1590,1,no info,20,30,21,4,2019,"('delhi', 'cochin')",7174
Multiple Carriers,delhi,cochin,780,1,in-flight meal not included,8,0,27,5,2019,"('delhi', 'cochin')",9450
Multiple Carriers,delhi,cochin,460,2,no info,17,50,15,6,2019,"('delhi', 'cochin')",18485
Jet Airways,banglore,new delhi,785,1,in-flight meal not included,11,40,3,3,2019,"('banglore', 'new delhi')",13502
Air Asia,banglore,delhi,170,0,no info,4,55,24,5,2019,"('banglore', 'delhi')",3383
Spicejet,kolkata,banglore,150,0,no info,17,10,21,4,2019,"('kolkata', 'banglore')",4911
Jet Airways,kolkata,banglore,1365,1,no info,20,25,15,5,2019,"('kolkata', 'banglore')",14151
Vistara,delhi,cochin,190,0,no info,6,0,6,6,2019,"('delhi', 'cochin')",6216
Spicejet,kolkata,banglore,140,0,no info,22,20,24,3,2019,"('kolkata', 'banglore')",5831
Jet Airways,kolkata,banglore,590,1,in-flight meal not included,6,30,24,5,2019,"('kolkata', 'banglore')",10844
Indigo,delhi,cochin,515,1,no info,7,35,6,6,2019,"('delhi', 'cochin')",6674
Spicejet,delhi,cochin,270,1,no check-in baggage included,8,45,27,5,2019,"('delhi', 'cochin')",5158
Air India,mumbai,hyderabad,90,0,no info,13,55,12,5,2019,"('mumbai', 'hyderabad')",3100
Jet Airways,kolkata,banglore,365,1,in-flight meal not included,16,30,15,5,2019,"('kolkata', 'banglore')",10844
Spicejet,kolkata,banglore,150,0,no info,17,10,12,4,2019,"('kolkata', 'banglore')",3873
Indigo,kolkata,banglore,315,1,no info,21,0,9,5,2019,"('kolkata', 'banglore')",7605
Indigo,mumbai,hyderabad,90,0,no info,19,5,18,6,2019,"('mumbai', 'hyderabad')",2754
Jet Airways,kolkata,banglore,1745,1,no info,17,0,6,5,2019,"('kolkata', 'banglore')",11467
Jet Airways,delhi,cochin,560,2,no info,9,40,9,6,2019,"('delhi', 'cochin')",13014
Jet Airways,delhi,cochin,910,2,in-flight meal not included,21,25,27,6,2019,"('delhi', 'cochin')",11507
Jet Airways,delhi,cochin,1375,2,in-flight meal not included,5,30,9,6,2019,"('delhi', 'cochin')",10368
Jet Airways,banglore,new delhi,435,1,in-flight meal not included,8,55,15,3,2019,"('banglore', 'new delhi')",9134
Jet Airways,delhi,cochin,195,0,no info,11,0,27,5,2019,"('delhi', 'cochin')",9564
Indigo,delhi,cochin,280,1,no info,21,5,9,3,2019,"('delhi', 'cochin')",6937
Multiple Carriers,delhi,cochin,435,1,no info,18,15,21,5,2019,"('delhi', 'cochin')",14067
Jet Airways,banglore,new delhi,1210,1,no info,8,55,6,3,2019,"('banglore', 'new delhi')",16736
Air India,banglore,new delhi,790,1,no info,8,15,3,3,2019,"('banglore', 'new delhi')",6781
Indigo,delhi,cochin,570,1,no info,16,0,15,6,2019,"('delhi', 'cochin')",6316
Indigo,kolkata,banglore,155,0,no info,17,15,24,5,2019,"('kolkata', 'banglore')",4804
Jet Airways,banglore,new delhi,390,1,in-flight meal not included,5,50,21,3,2019,"('banglore', 'new delhi')",6163
Air India,delhi,cochin,185,0,no info,18,5,18,3,2019,"('delhi', 'cochin')",4729
Vistara,kolkata,banglore,1350,1,no info,20,20,15,5,2019,"('kolkata', 'banglore')",9345
Spicejet,banglore,new delhi,475,1,no info,10,20,3,3,2019,"('banglore', 'new delhi')",11401
Air India,banglore,new delhi,1405,1,1 long layover,0,30,1,3,2019,"('banglore', 'new delhi')",12599
Indigo,banglore,delhi,165,0,no info,6,5,27,6,2019,"('banglore', 'delhi')",3943
Jet Airways,delhi,cochin,745,1,no info,16,0,9,3,2019,"('delhi', 'cochin')",16289
Jet Airways,banglore,new delhi,1280,1,in-flight meal not included,14,5,21,3,2019,"('banglore', 'new delhi')",7832
Jet Airways,delhi,cochin,1205,2,no info,8,20,9,3,2019,"('delhi', 'cochin')",18909
Jet Airways,kolkata,banglore,1730,1,no info,9,35,15,5,2019,"('kolkata', 'banglore')",11467
Vistara,banglore,delhi,160,0,no info,7,0,12,6,2019,"('banglore', 'delhi')",4668
Jet Airways,banglore,delhi,175,0,in-flight meal not included,11,10,24,5,2019,"('banglore', 'delhi')",4030
Jet Airways,delhi,cochin,1185,1,no info,23,5,3,3,2019,"('delhi', 'cochin')",18253
Jet Airways,delhi,cochin,1125,2,no info,9,40,27,5,2019,"('delhi', 'cochin')",15129
Air India,banglore,delhi,170,0,no info,21,5,21,6,2019,"('banglore', 'delhi')",5228
Jet Airways,delhi,cochin,1745,2,no info,13,45,9,3,2019,"('delhi', 'cochin')",18752
Jet Airways,kolkata,banglore,735,1,no info,20,0,6,5,2019,"('kolkata', 'banglore')",14388
Air India,banglore,new delhi,1670,2,no info,6,45,3,3,2019,"('banglore', 'new delhi')",12358
Jet Airways,kolkata,banglore,1220,1,in-flight meal not included,20,0,21,5,2019,"('kolkata', 'banglore')",10844
Air India,delhi,cochin,1010,1,no info,6,10,9,3,2019,"('delhi', 'cochin')",9064
Indigo,delhi,cochin,665,1,no info,5,5,3,6,2019,"('delhi', 'cochin')",6818
Air India,banglore,new delhi,725,1,no info,11,50,6,3,2019,"('banglore', 'new delhi')",15434
Indigo,delhi,cochin,325,1,no info,2,0,27,4,2019,"('delhi', 'cochin')",5796
Air India,kolkata,banglore,590,2,no info,12,0,6,6,2019,"('kolkata', 'banglore')",9416
Indigo,delhi,cochin,310,1,no info,17,5,15,4,2019,"('delhi', 'cochin')",5912
Jet Airways,kolkata,banglore,505,1,in-flight meal not included,9,35,1,5,2019,"('kolkata', 'banglore')",10703
Jet Airways,kolkata,banglore,860,2,in-flight meal not included,6,30,6,6,2019,"('kolkata', 'banglore')",10118
Jet Airways,kolkata,banglore,1285,1,no info,17,0,1,5,2019,"('kolkata', 'banglore')",11467
Spicejet,kolkata,banglore,155,0,no check-in baggage included,6,55,15,5,2019,"('kolkata', 'banglore')",3841
Spicejet,banglore,delhi,175,0,no check-in baggage included,21,10,6,6,2019,"('banglore', 'delhi')",3257
Spicejet,delhi,cochin,270,1,no check-in baggage included,8,45,27,3,2019,"('delhi', 'cochin')",4414
Jet Airways,delhi,cochin,1375,2,in-flight meal not included,5,30,6,6,2019,"('delhi', 'cochin')",10368
Air India,kolkata,banglore,155,0,no info,20,45,9,4,2019,"('kolkata', 'banglore')",4460
Vistara,delhi,cochin,190,0,no info,14,40,1,6,2019,"('delhi', 'cochin')",6741
Spicejet,delhi,cochin,295,1,no info,17,55,9,5,2019,"('delhi', 'cochin')",5975
Goair,banglore,delhi,170,0,no info,11,40,3,4,2019,"('banglore', 'delhi')",3898
Multiple Carriers,delhi,cochin,510,1,no info,10,20,21,3,2019,"('delhi', 'cochin')",11999
Indigo,chennai,kolkata,140,0,no info,14,45,3,5,2019,"('chennai', 'kolkata')",3858
Air India,delhi,cochin,1485,2,no info,18,30,9,3,2019,"('delhi', 'cochin')",18211
Jet Airways,mumbai,hyderabad,405,1,no info,9,50,12,3,2019,"('mumbai', 'hyderabad')",20120
Indigo,kolkata,banglore,165,0,no info,9,35,12,5,2019,"('kolkata', 'banglore')",4804
Vistara,kolkata,banglore,1345,1,no info,20,20,24,3,2019,"('kolkata', 'banglore')",12102
Jet Airways,delhi,cochin,1210,1,no info,22,50,21,5,2019,"('delhi', 'cochin')",16079
Jet Airways,kolkata,banglore,425,1,no info,16,30,6,6,2019,"('kolkata', 'banglore')",14571
Indigo,kolkata,banglore,155,0,no info,11,30,27,6,2019,"('kolkata', 'banglore')",4804
Jet Airways,delhi,cochin,1295,1,in-flight meal not included,15,0,15,6,2019,"('delhi', 'cochin')",10262
Jet Airways,kolkata,banglore,1395,1,in-flight meal not included,18,55,24,3,2019,"('kolkata', 'banglore')",11134
Jet Airways,banglore,new delhi,435,1,no info,8,55,1,3,2019,"('banglore', 'new delhi')",26890
Spicejet,mumbai,hyderabad,90,0,no info,13,15,6,5,2019,"('mumbai', 'hyderabad')",2017
Jet Airways,kolkata,banglore,1525,1,in-flight meal not included,21,10,9,6,2019,"('kolkata', 'banglore')",10844
Air Asia,kolkata,banglore,155,0,no info,10,20,12,6,2019,"('kolkata', 'banglore')",3807
Air India,delhi,cochin,1585,3,no info,5,15,24,6,2019,"('delhi', 'cochin')",10493
Jet Airways,kolkata,banglore,365,1,in-flight meal not included,16,30,6,6,2019,"('kolkata', 'banglore')",10844
Jet Airways,kolkata,banglore,800,1,in-flight meal not included,6,30,12,5,2019,"('kolkata', 'banglore')",8586
Jet Airways,delhi,cochin,705,1,no info,7,5,27,3,2019,"('delhi', 'cochin')",12032
Jet Airways,delhi,cochin,335,1,in-flight meal not included,22,50,21,5,2019,"('delhi', 'cochin')",12898
Indigo,banglore,new delhi,180,0,no info,13,10,9,3,2019,"('banglore', 'new delhi')",8033
Air Asia,delhi,cochin,625,1,no info,20,45,27,4,2019,"('delhi', 'cochin')",6451
Indigo,kolkata,banglore,155,0,no info,15,30,15,4,2019,"('kolkata', 'banglore')",4174
Jet Airways,banglore,new delhi,435,1,no info,14,5,18,3,2019,"('banglore', 'new delhi')",16946
Jet Airways,banglore,delhi,180,0,no info,8,20,27,4,2019,"('banglore', 'delhi')",7229
Multiple Carriers,delhi,cochin,465,1,no info,11,30,27,3,2019,"('delhi', 'cochin')",6732
Air India,delhi,cochin,170,0,no info,5,10,12,6,2019,"('delhi', 'cochin')",5201
Jet Airways,delhi,cochin,335,1,no info,22,50,9,4,2019,"('delhi', 'cochin')",12242
Indigo,banglore,new delhi,180,0,no info,8,30,9,3,2019,"('banglore', 'new delhi')",7648
Jet Airways,mumbai,hyderabad,90,0,no info,10,20,15,6,2019,"('mumbai', 'hyderabad')",5678
Jet Airways,kolkata,banglore,730,1,in-flight meal not included,16,30,6,5,2019,"('kolkata', 'banglore')",8586
Indigo,banglore,delhi,165,0,no info,6,5,24,6,2019,"('banglore', 'delhi')",3943
